1	1	1	0.00005	0
1	2	0.99754	0.00169	0
1	3	0.9907	0.00579	0
1	4	0.98037	0.01111	0
1	5	0.96698	0.01721	0
1	6	0.95044	0.02452	0
1	7	0.93064	0.03317	0
1	8	0.90775	0.04292	0
1	9	0.88202	0.05367	0
1	10	0.8537	0.06522	0
1	11	0.82309	0.07725	0
1	12	0.79048	0.08942	0
1	13	0.75616	0.10143	0
1	14	0.72043	0.11298	0
1	15	0.68359	0.12384	0
1	16	0.64594	0.13374	0
1	17	0.60778	0.14243	0
1	18	0.56937	0.1497	0
1	19	0.53099	0.15538	0
1	20	0.49265	0.15942	0
1	21	0.45435	0.16176	0
1	22	0.41638	0.1624	0
1	23	0.37887	0.16133	0
1	24	0.34204	0.15862	0
1	25	0.30609	0.15434	0
1	26	0.2712	0.14859	0
1	27	0.2376	0.14148	0
1	28	0.20549	0.1331	0
1	29	0.17504	0.12355	0
1	30	0.14648	0.11291	0
1	31	0.11999	0.10132	0
1	32	0.09576	0.08896	0
1	33	0.07395	0.07611	0
1	34	0.05468	0.06312	0
1	35	0.03811	0.05032	0
1	36	0.02433	0.03793	0
1	37	0.01338	0.02615	0
1	38	0.00548	0.01531	0
1	39	0.00098	0.00586	0
1	40	0	0.00014	0
1	41	0.00098	-0.0045	0
1	42	0.00548	-0.00914	0
1	43	0.01338	-0.01179	0
1	44	0.02433	-0.01269	0
1	45	0.03811	-0.01209	0
1	46	0.05468	-0.01028	0
1	47	0.07395	-0.00759	0
1	48	0.09576	-0.00435	0
1	49	0.11999	-0.00076	0
1	50	0.14648	0.0032	0
1	51	0.17504	0.00748	0
1	52	0.20549	0.01201	0
1	53	0.2376	0.01667	0
1	54	0.2712	0.02136	0
1	55	0.30609	0.02597	0
1	56	0.34204	0.0304	0
1	57	0.37887	0.03457	0
1	58	0.41638	0.03839	0
1	59	0.45435	0.04178	0
1	60	0.49265	0.04466	0
1	61	0.53099	0.04693	0
1	62	0.56937	0.04851	0
1	63	0.60778	0.04933	0
1	64	0.64594	0.04932	0
1	65	0.68359	0.04845	0
1	66	0.72043	0.04672	0
1	67	0.75616	0.04423	0
1	68	0.79048	0.04108	0
1	69	0.82309	0.03739	0
1	70	0.8537	0.03322	0
1	71	0.88202	0.02867	0
1	72	0.90775	0.02386	0
1	73	0.93064	0.01896	0
1	74	0.95044	0.0141	0
1	75	0.96698	0.00936	0
1	76	0.98037	0.00516	0
1	77	0.9907	0.00212	0
1	78	0.99754	0.00044	0
